index	race	incar
9073	White	NA
9553	White	NA
1624	White	1
22739	White	NA
4223	White	1
3266	White	1
8944	White	1
15735	White	1
16482	White	1
11840	White	1
9591	White	NA
1465	White	1
8351	White	1
18849	White	1
15233	White	1
22366	White	1
13013	White	NA
5703	White	NA
7286	White	1
20266	White	NA
18311	White	1
834	White	NA
693	White	1
21673	White	NA
12629	White	NA
18273	White	NA
6230	White	1
9292	White	1
19967	White	NA
18904	White	NA
17393	White	NA
2464	White	NA
10601	White	NA
510	White	1
22655	White	NA
8737	White	NA
13	White	1
14183	White	NA
10071	White	1
2910	White	NA
5454	White	1
10248	White	NA
14158	White	1
21706	White	NA
13288	White	NA
16348	White	NA
12824	White	NA
18734	White	NA
6722	White	NA
19489	White	1
6865	White	NA
2874	White	NA
14024	White	1
3875	White	NA
16601	White	1
16053	White	NA
6809	White	NA
13789	White	NA
1884	White	1
16856	White	NA
13404	White	1
6110	White	NA
9447	White	NA
15133	White	NA
13675	White	1
20241	White	NA
12518	White	NA
17750	White	NA
1897	White	NA
20164	White	NA
3326	White	1
16926	White	NA
16453	White	NA
18464	White	1
5484	White	NA
3587	White	1
4305	White	NA
9218	White	NA
7828	White	NA
15909	White	1
13770	White	1
2429	White	1
564	White	1
10292	White	1
8256	White	NA
9404	White	1
442	White	NA
22775	White	1
20292	White	NA
4142	White	NA
15475	White	NA
3584	White	NA
20126	White	1
2595	White	NA
21571	White	NA
16897	White	NA
3261	White	NA
7899	White	1
15004	White	1
436	White	1
19057	White	1
6602	White	1
10736	White	1
22324	White	NA
449	White	1
11135	White	1
22056	White	NA
5991	White	NA
21708	White	NA
17496	White	NA
14393	White	1
5055	White	NA
20396	White	1
13258	White	1
6014	White	1
809	White	NA
19702	White	1
7585	White	NA
15757	White	1
3693	White	1
19844	White	NA
6398	White	1
13581	White	NA
10793	White	NA
4942	White	1
21873	White	1
11089	White	NA
12984	White	NA
9948	White	1
19075	White	1
20085	White	NA
10970	White	1
19572	White	1
15870	White	NA
17698	White	1
19234	White	NA
13327	White	1
4134	White	1
486	White	1
16930	White	NA
12134	White	NA
1682	White	NA
16086	White	NA
20690	White	NA
13638	White	1
2418	White	NA
3238	White	1
83	White	1
6046	White	1
11016	White	1
14345	White	NA
15427	White	1
5176	White	NA
2332	White	1
2644	White	1
7717	White	NA
5759	White	NA
4084	White	NA
17315	White	NA
692	White	NA
12945	White	NA
11887	White	1
2003	White	1
2728	White	NA
22872	White	NA
20194	White	1
22478	White	NA
17411	White	NA
20448	White	1
822	White	1
13869	White	NA
20966	White	NA
5069	White	NA
21861	White	1
7660	White	1
3360	White	NA
21165	White	1
16513	White	NA
760	White	1
14618	White	1
11712	White	NA
21700	White	NA
4306	White	1
16773	White	1
16795	White	NA
4172	White	1
5447	White	NA
17649	White	1
18452	White	1
18719	White	NA
13984	White	NA
20898	White	NA
18384	White	1
21747	White	1
20405	White	NA
6299	White	1
10905	White	NA
2626	White	1
10907	White	1
17361	White	NA
2924	White	1
3543	White	1
14381	White	NA
20319	White	1
7813	White	1
2657	White	NA
1108	White	1
15163	White	NA
4624	White	1
21567	White	NA
1398	White	1
3401	White	1
16240	White	1
12253	White	NA
12486	White	NA
314	White	1
5179	White	NA
12851	White	NA
11903	White	1
9804	White	NA
4883	White	NA
3072	White	NA
16030	White	NA
21109	White	NA
5536	White	1
10885	White	NA
11978	White	1
17935	White	NA
8026	White	1
20053	White	NA
1044	White	NA
12387	White	1
12688	White	NA
14794	White	1
16874	White	NA
22364	White	NA
9662	White	NA
3264	White	NA
20171	White	NA
6645	White	1
1843	White	1
5819	White	NA
14767	White	NA
11194	White	1
19653	White	1
18541	White	NA
21914	White	NA
4314	White	NA
15882	White	1
6465	White	NA
268	White	1
20988	White	NA
16449	White	1
21963	White	NA
13472	White	NA
6521	White	1
8825	White	NA
14943	White	1
3802	White	NA
976	White	NA
2373	White	1
19706	White	NA
22572	White	1
487	White	1
6025	White	1
14983	White	1
7424	White	1
6480	White	1
1322	White	NA
12193	White	NA
2837	White	NA
17251	White	NA
699	White	1
10484	White	1
13289	White	1
6634	White	1
3178	White	NA
20304	White	1
18483	White	NA
1933	White	1
11140	White	NA
6903	White	NA
14654	White	NA
383	White	1
1070	White	NA
1098	White	1
9925	White	1
9577	White	1
747	White	NA
12012	White	1
11753	White	1
